track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_class,speech_energy,rhythm_power,word_beat_sync,aggressiveness
7wSkoXvluRMn8IOpvS60eN,Lavender,Casiio,49,4h9KvqU4dYtffJpa213nGp,Lavender,2019-01-18,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.489,0.349,9,-13.78,1,0.101,0.855,0.873,0.126,0.188,78.419,69397,medium,0.035249,-1080.6138199999998,7.920319,0.050605000000000004
5BEX5jMEkOB8Zr1dUft3Mg,bedroom,Smeyeul.,5,4360Bb2FpRG1AQtIHWThKC,Bedroom Skits,2018-05-11,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.77,0.0161,4,-14.233,1,0.162,0.905,0.914,0.113,0.7,75.047,153600,low,0.0026082,-1068.143951,12.157614,0.0015294999999999996
5kJAk6KD2SH3Dz8K3EfIhc,Blue and Green,Harris Cole,32,3Oez1z22gULW1pAYTCkINr,Colors,2018-05-29,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.638,0.0389,1,-17.75,1,0.115,0.897,0.849,0.0731,0.48,79.888,174000,low,0.0044735,-1418.0120000000002,9.18712,0.004006699999999999
50w42bgL9DTDMV0oV1FicG,With Tim,Guustavv,53,4ZdI67jQuq3nAg4oOp7bRC,With Tim,2019-08-16,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.373,0.251,8,-11.354,1,0.0755,0.97,0.918,0.147,0.054,211.369,150500,medium,0.0189505,-2399.883626,15.9583595,0.007530000000000006
0z7QCHOnnIPiilUkEQ0Y1s,Analog,leaf beach,50,10bPAFEkH9srG7CV7hW6I2,Arrival,2018-05-01,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.746,0.371,9,-8.226,0,0.332,0.432,0.423,0.0954,0.488,174.256,97433,medium,0.123172,-1433.4298560000002,57.852992,0.21072800000000003
3izuaLqYKLPLargJXoErNk,Lakshmana,Made in M,51,54mO5n5EwJJFXFa0oPse02,Nest,2016-11-04,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.648,0.217,7,-14.142,1,0.252,0.853,0.604,0.107,0.528,85.999,114500,medium,0.054684,-1216.197858,21.671747999999997,0.031899000000000004
3Wc9aWJgP6ST2gKqaPUzq9,97,Bertholet,48,1eW9Jh0skNIpdtANVWGzMN,97,2018-07-02,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.645,0.165,3,-19.347,0,0.164,0.223,0.803,0.164,0.843,80.367,121891,medium,0.02706,-1554.8603490000003,13.180188000000001,0.128205
6EzuZuIO6lR0XvFkBVcvpW,Red Tide,xJK.,47,7BVUntHlmWOQaGC9ZmLhk3,Red Tide,2018-08-24,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.755,0.338,10,-8.574,0,0.246,0.792,0.906,0.12,0.43,91.045,148365,medium,0.083148,-780.61983,22.39707,0.07030399999999999
3BjXk1moo8smcdRE3tvtcO,Show and Prove,Es-K,4,4IXWFVTgBd5OKieKfSYi4m,Trust The Process,2018-09-09,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.729,0.32,11,-7.278,0,0.0338,0.157,0.905,0.111,0.542,92.0,146070,low,0.010816,-669.5759999999999,3.1095999999999995,0.26976
6GpnpvtCFQ21HRk0mqVRw0,Faintly,Shrimpnose,47,62FH6u0Lmj76EfMZBX3lzK,11:11(am),2018-09-06,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.756,0.291,2,-13.78,1,0.169,0.866,0.895,0.116,0.335,75.156,126875,medium,0.049179,-1035.64968,12.701364000000002,0.038994
5l40B5n4x1U6B7qTaJXPtN,Flava,Manny,47,7CrQluqxgIPgOHNk1qfz5X,Flava,2018-08-15,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.416,0.423,9,-15.069,0,0.248,0.97,0.928,0.206,0.41,76.372,111381,medium,0.104904,-1150.849668,18.940256,0.01269000000000001
4OfB6dy0mjs56CYTlLI7Oe,Syrup,Dweeb,6,6vvOprheUb3xUjb5DjeojK,[Untitled] VI,2018-06-29,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.679,0.172,0,-13.146,1,0.0441,0.754,0.938,0.107,0.223,86.998,66207,low,0.007585199999999999,-1143.6757080000002,3.8366118,0.042311999999999995
3julkyNbFWkLu9geA2CB8K,Panacea.,Misc.Inc,53,6MXGDOJDci1da2sIzqmRWn,Panacea.,2018-04-20,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.618,0.211,9,-16.41,1,0.208,0.876,0.849,0.0887,0.142,83.982,85714,medium,0.043887999999999996,-1378.14462,17.468256,0.026164
2VnKo1kUEFkM5CwzsreulS,RideOut,enjo,49,0i2BugEZOry3RpeCA9kJSA,EnjoyLife,2017-08-04,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.78,0.327,10,-8.763,1,0.136,0.915,0.689,0.112,0.388,82.027,79024,medium,0.044472000000000005,-718.802601,11.155672000000001,0.02779499999999999
5DaL1ihlNVFZ7qdiNds13f,Recollections,jrd.,47,3NwUVz7s27KaJxhwbPYnIf,Reflections,2018-06-02,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.799,0.0375,11,-15.162,1,0.456,0.891,0.928,0.102,0.615,78.132,147716,medium,0.0171,-1184.637384,35.628192000000006,0.004087499999999999
4pv80UbBmpaIj178oGuhYs,Wasted Years,Arvo to me,48,1ivX9y1Kctq1F2F1hiR5c1,Self Confidence,2018-05-08,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.809,0.287,5,-8.89,0,0.0595,0.476,0.839,0.119,0.651,84.0,171451,medium,0.017076499999999998,-746.76,4.997999999999999,0.150388
2J8XWGtQb2PFtuHjyaNow3,Silence,Philanthrope,55,4gLd0XyVlQ89K7ycaLHdgt,Waking Dreams,2018-06-21,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.651,0.183,9,-9.388,0,0.056,0.838,0.925,0.0891,0.687,151.971,105101,medium,0.010248,-1426.7037480000001,8.510376,0.029646000000000006
6IQZ4aWSnWZm8Cohq1kF0M,Floating,wuf,48,7jJWPL6z9zoApCJLkQLVgp,Days / Winterwarm,2015-11-04,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.694,0.124,10,-18.156,0,0.0493,0.594,0.917,0.111,0.856,152.098,88522,medium,0.006113199999999999,-2761.491288,7.4984314,0.050344
1AQX0rO6nMJnC2u6ORjlOw,Aqua skies,leaf beach,4,6EPkeNxYpsyiPDW258yAqx,Aqua skies,2017-12-18,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.562,0.377,1,-14.323,1,0.427,0.818,0.792,0.116,0.12,72.807,102078,low,0.160979,-1042.8146610000001,31.088589,0.06861400000000002
